IRIS;LIBIRIS;COM;LIBCOM;REG;DEP;ARR;CV;ZE1990;NBMEN06;RFMQ106;RFMQ206;RFMQ306;RFMIQ06;RFMD106;RFMD206;RFMD306;RFMD406;RFMD606;RFMD706;RFMD806;RFMD906;RFMRD06;RFMET06;RFMMO06;RFMGI06
10040101;LES PEROUSES-TRIANGLE D'ACTIVITE;1004;Ambérieu-en-Bugey;82;1;11;101;8210;669;14483;22470;34417;19934;8396;13189;15410;18513;26074;31071;38789;50042;6.0;19311.11;26536.01;0.3604
10040102;LONGERAY-GARE;1004;Ambérieu-en-Bugey;82;1;11;101;8210;1339;13703;20238;31474;17771;7535;12488;14821;17420;23531;29164;34268;43654;5.8;16980.57;24075.43;0.3515
10040201;CENTRE-ST GERMAIN-VAREILLES;1004;Ambérieu-en-Bugey;82;1;11;101;8210;1551;15099;22989;35352;20253;10072;14030;16680;19353;27555;32221;38723;49412;4.9;21575.44;27777.72;0.3522
10040202;TIRET-LES ALLYMES;1004;Ambérieu-en-Bugey;82;1;11;101;8210;1518;19929;32320;47692;27763;14304;18100;22722;27223;37572;43567;51526;65612;4.6;42880.81;39160.23;0.3661
10330101;COUPY-VANCHY;1033;Bellegarde-sur-Valserine;82;1;14;103;8205;535;14598;21669;35879;21281;;;;;;;;;;;;
10330102;CENTRE VILLE;1033;Bellegarde-sur-Valserine;82;1;14;103;8205;1379;13242;19528;30451;17209;7529;11767;14416;16993;23216;28232;33907;44004;5.8;19019.62;23838.57;0.3674
10330201;ARC VOUVRAY-GARE-CHATILLON;1033;Bellegarde-sur-Valserine;82;1;14;103;8205;996;16837;27702;43050;26214;10227;14604;18554;22675;33320;39009;46624;61406;6.0;25223.38;33187.59;0.3751
10330202;PLATEAU DE MUSINENS;1033;Bellegarde-sur-Valserine;82;1;14;103;8205;1055;14796;22916;35565;20769;7468;12955;16372;19767;27553;32955;38973;51412;6.9;19507.63;26891.42;0.3621
10330301;ARLOD;1033;Bellegarde-sur-Valserine;82;1;14;103;8205;491;16329;24796;37904;21575;;;;;;;;;;;;
10530101;CENTRE-VILLE;1053;Bourg-en-Bresse;82;1;12;199;8203;1077;12432;18820;30702;18270;6000;10906;13811;16087;22979;27650;35228;49727;8.3;27965.63;25713.24;0.4347
10530102;CHAMP-DE-FOIRE;1053;Bourg-en-Bresse;82;1;12;199;8203;1140;14180;21527;32875;18695;8426;12588;15479;18018;24831;29274;36528;49540;5.9;28013.89;27114.72;0.3940
10530103;PREFECTURE;1053;Bourg-en-Bresse;82;1;12;199;8203;796;13760;23223;37977;24218;6572;11922;15353;18862;27859;33254;44190;62494;9.5;41897.21;33377.72;0.4826
10530201;CITADELLE;1053;Bourg-en-Bresse;82;1;12;199;8203;825;15432;22794;34667;19235;9167;13932;16616;20000;27037;31805;38858;51173;5.6;105976.28;31426.85;0.4350
10530202;MAIL;1053;Bourg-en-Bresse;82;1;12;199;8203;944;13979;20122;30411;16432;7519;12360;15161;17542;23927;27898;32903;41963;5.6;16407.88;23774.18;0.3465
10530203;PELOUX;1053;Bourg-en-Bresse;82;1;12;199;8203;976;15069;22715;33625;18556;8609;13614;16396;19407;25830;30291;36665;47649;5.5;19219.60;26461.50;0.3540
10530301;GARE;1053;Bourg-en-Bresse;82;1;12;199;8203;1282;15371;23441;36875;21504;8465;13705;16857;20380;27694;33166;41172;62295;7.4;33873.61;31899.03;0.4273
10530302;BROU;1053;Bourg-en-Bresse;82;1;12;199;8203;1404;14917;21642;33575;18658;8897;13502;16082;18453;25219;29663;37163;51728;5.8;33019.84;28202.59;0.4022
10530401;VENNES-OUEST;1053;Bourg-en-Bresse;82;1;12;199;8203;988;14831;22689;34184;19353;9380;13387;16337;19348;26788;30987;37950;50460;5.4;19856.81;27254.02;0.3568
10530402;VENNES-EST;1053;Bourg-en-Bresse;82;1;12;199;8203;955;20628;30243;43280;22652;14547;19364;22337;25867;34212;40010;47853;59880;4.1;29012.20;35623.80;0.3219
10530501;BAUDIERES;1053;Bourg-en-Bresse;82;1;12;199;8203;705;17741;27371;38846;21105;12809;16218;19559;23551;30887;35330;43195;54111;4.2;20034.18;31065.66;0.3162
10530502;SARDIERES;1053;Bourg-en-Bresse;82;1;12;199;8203;1194;16357;24870;39665;23308;11006;14691;18021;21181;29651;35473;44346;58411;5.3;33127.22;32870.61;0.3943
10530503;CROIX-BLANCHE;1053;Bourg-en-Bresse;82;1;12;199;8203;1006;9100;15331;23995;14895;3116;7586;10804;13183;17888;21966;27643;36517;11.7;18264.19;18936.90;0.4220
10530601;PONT-DES-CHEVRES;1053;Bourg-en-Bresse;82;1;12;199;8203;1100;12711;18525;27008;14297;7085;11473;13813;16333;21405;24996;29392;37005;5.2;15336.12;21220.40;0.3372
10530602;REYSSOUZE-OUEST;1053;Bourg-en-Bresse;82;1;12;199;8203;849;12329;18589;26936;14607;6326;10904;13330;15816;21417;24916;29634;37427;5.9;13829.65;20887.19;0.3451
10530603;REYSSOUZE-EST;1053;Bourg-en-Bresse;82;1;12;199;8203;852;9228;14699;20820;11593;3884;7829;10441;12718;16403;18851;22841;29199;7.5;11401.16;15971.95;0.3559
10530604;CENORD-GRAND-CHALLES;1053;Bourg-en-Bresse;82;1;12;199;8203;654;14993;26813;41180;26187;7452;12280;17290;22045;32275;38475;44980;56282;7.6;21045.27;30229.94;0.3703
10530701;GRANGES-BARDES-ALAGNIER;1053;Bourg-en-Bresse;82;1;12;199;8203;825;20018;30610;42044;22026;12673;17910;22224;26514;34368;38743;45141;55228;4.4;39497.14;34497.73;0.3398
12830102;ZUS CENTRE;1283;Oyonnax;82;1;14;198;8204;813;13792;20405;31037;17245;8473;12698;14753;17241;24382;28866;33501;40145;4.7;14029.16;23111.77;0.3232
12830103;ZUS NORD EST;1283;Oyonnax;82;1;14;198;8204;1102;14155;20648;31203;17048;9533;12878;15116;17594;24620;28732;33340;40848;4.3;29391.66;24731.54;0.3469
12830104;ZUS OUEST;1283;Oyonnax;82;1;14;198;8204;881;13903;20258;29581;15678;7778;12272;15035;17320;23742;27311;31690;40595;5.2;14503.38;22891.21;0.3285
12830201;VILLE SUD;1283;Oyonnax;82;1;14;198;8204;944;15242;23411;35808;20566;10425;13976;16711;20140;27432;32755;39107;50106;4.8;27328.17;29954.18;0.3856
12830202;VILLE EST;1283;Oyonnax;82;1;14;198;8204;1007;13697;20223;31875;18178;7980;12527;14696;16854;24243;29334;36071;49713;6.2;20279.49;25691.11;0.3832
12830203;NIERME ET GEILLES;1283;Oyonnax;82;1;14;198;8204;865;12043;19368;31455;19412;5194;10004;13763;16104;23868;28589;35285;45087;8.7;24433.11;24736.76;0.4206
12830301;VILLE OUEST;1283;Oyonnax;82;1;14;198;8204;1079;15379;23152;34065;18686;10576;14113;16815;19884;26734;31550;37316;47975;4.5;25980.02;28340.04;0.3587
12830302;PARC INDUSTRIEL NORD;1283;Oyonnax;82;1;14;198;8204;;;;;;;;;;;;;;;;;
12830303;VILLE NORD;1283;Oyonnax;82;1;14;198;8204;936;14367;22305;33728;19361;8949;12715;15430;18645;26106;31242;37924;51440;5.7;36485.66;29355.67;0.4197
12830304;EXTERIEUR EST;1283;Oyonnax;82;1;14;198;8204;1034;14377;23449;36908;22531;8978;12851;15633;19074;28209;33369;40721;53949;6.0;32427.83;30213.56;0.4135
12830305;VEYZIAT;1283;Oyonnax;82;1;14;198;8204;544;26427;40771;59307;32880;18202;23353;28809;34567;47358;54308;65291;81756;4.5;70985.37;52839.30;0.3946
12830306;BOUVENT;1283;Oyonnax;82;1;14;198;8204;;;;;;;;;;;;;;;;;
21680101;CENTRE;2168;Château-Thierry;22;2;21;208;2205;2055;12295;18806;29229;16934;6179;10422;13798;16175;22086;26495;33163;43716;7.1;34586.68;24784.51;0.4273
21680201;CHESNEAUX;2168;Château-Thierry;22;2;21;208;2205;852;16079;25406;38632;22553;11351;14687;17483;21055;29993;35469;43984;59503;5.2;33931.95;33185.41;0.4062
21680301;ZI;2168;Château-Thierry;22;2;21;208;2205;;;;;;;;;;;;;;;;;
21680401;MARE AUBRY;2168;Château-Thierry;22;2;21;208;2205;850;14773;22018;34374;19601;9149;13397;16006;18904;25713;31725;37493;50703;5.5;30230.01;28481.09;0.3949
21680501;VAUCRISES;2168;Château-Thierry;22;2;21;208;2205;812;9848;16588;25118;15270;3089;8240;11547;14189;19105;23289;27707;34990;11.3;12578.56;18447.88;0.3705
21680601;GERBROIS-ST MARTIN-LE BUISSON-VINCELLES;2168;Château-Thierry;22;2;21;208;2205;770;17955;29061;44349;26394;12467;16238;19522;24813;33924;40551;49205;62875;5.0;34359.38;35729.45;0.3832
21680701;BLANCHARD;2168;Château-Thierry;22;2;21;208;2205;875;13672;23421;36638;22966;6101;11834;15748;19509;28670;33956;39848;50011;8.2;20981.18;27204.03;0.3803
21730101;NORD-OUEST;2173;Chauny;22;2;22;209;2232;1929;10970;17614;26781;15811;3082;8571;12231;14754;20487;24309;29682;37227;12.1;18693.51;20280.36;0.3959
21730201;SUD-OUEST;2173;Chauny;22;2;22;209;2232;1986;13460;21390;33047;19587;6880;12014;15026;18247;25719;30430;36427;46849;6.8;24167.08;26455.11;0.3961
21730301;NORD-EST;2173;Chauny;22;2;22;209;2232;1110;15661;23944;36193;20532;9058;13520;17643;20436;28508;33038;39922;53599;5.9;30193.16;30301.40;0.3967
23810101;CENTRE VILLE;2381;Hirson;22;2;25;217;2241;1549;10178;17089;26220;16042;2798;8038;11497;14499;20177;23861;29271;38311;13.7;21563.78;20962.46;0.4324
23810201;CHAMP ROLAND;2381;Hirson;22;2;25;217;2241;1146;9660;16812;26979;17319;2310;7815;11555;14006;19957;24066;30347;39929;17.3;17246.31;20208.52;0.4201
23810301;EUROPE FUTAIE;2381;Hirson;22;2;25;217;2241;798;10119;19407;30125;20006;3734;8255;12251;16453;22578;27108;32799;41584;11.1;20196.20;22406.80;0.4134
23810401;CHAMPS ELYSEES;2381;Hirson;22;2;25;217;2241;601;11450;17736;26572;15122;;;;;;;;;;;;
24080101;SAINT-EXUPERY-MOULIN ROUX;2408;Laon;22;2;22;297;2242;1174;7532;14599;21770;14238;983;5941;9325;12340;16940;19755;24233;33766;34.3;12892.31;16462.73;0.4129
24080102;CENTRE SOCIAL;2408;Laon;22;2;22;297;2242;527;5276;13307;18928;13652;0;3244;6595;10165;15018;17825;20181;25994;;9844.74;13152.29;0.4184
24080103;LA FONTAINE;2408;Laon;22;2;22;297;2242;534;9721;17626;28935;19214;2400;7535;11828;14690;21151;25587;31305;40331;16.8;16581.52;20758.92;0.4152
24080201;CITE DU NORD;2408;Laon;22;2;22;297;2242;1175;15175;23264;34740;19565;9747;13802;16749;19641;27331;31964;37442;46717;4.8;18482.36;26665.68;0.3357
24080301;GARE SAINT-MARCEL;2408;Laon;22;2;22;297;2242;1001;12655;20295;33301;20646;6882;11006;14312;17339;24441;30303;37750;51577;7.5;26215.05;26712.08;0.4186
24080401;INDIVIDUELS;2408;Laon;22;2;22;297;2242;493;19452;29272;41974;22522;;;;;;;;;;;;
24080402;PREVERT MARAICHERS;2408;Laon;22;2;22;297;2242;1024;13640;18666;27687;14048;7820;11944;14535;16314;21183;24944;29823;38575;4.9;13285.42;21339.35;0.3232
24080501;PLATEAU;2408;Laon;22;2;22;297;2242;1536;12748;20780;34762;22015;5385;10401;14549;17765;25363;30909;40399;58316;10.8;65849.50;30512.96;0.4875
24080601;VAUX;2408;Laon;22;2;22;297;2242;1134;15318;23955;36288;20970;7903;13373;17174;20308;28833;33575;39444;48646;6.2;22428.82;27848.09;0.3647
24080701;ZONE INDUSTRIELLE;2408;Laon;22;2;22;297;2242;;;;;;;;;;;;;;;;;
24080801;MONTREUIL-LA NEUVILLE-MARQUETTE;2408;Laon;22;2;22;297;2242;1414;11966;19262;30545;18579;5323;10118;13240;16232;22678;27076;34453;45287;8.5;19075.53;23431.78;0.4008
24080901;ARDON-LEUILLY-SEMILLY;2408;Laon;22;2;22;297;2242;641;18487;28961;44999;26512;12793;16837;20434;24512;34986;41342;50172;63160;4.9;26835.27;35672.72;0.3647
26910101;CENTRE VILLE 1;2691;Saint-Quentin;22;2;23;298;2231;1074;13405;22407;39798;26393;6432;11387;15209;18294;27433;34158;45683;72604;11.3;51515.54;35939.23;0.5197
26910102;CENTRE VILLE 2;2691;Saint-Quentin;22;2;23;298;2231;921;13181;23842;49388;36207;5450;11069;14848;19051;30792;41456;57652;86755;15.9;56150.72;40488.06;0.5355
26910103;CENTRE VILLE 3;2691;Saint-Quentin;22;2;23;298;2231;1011;11050;18459;29175;18125;3364;8657;12423;15251;21756;26186;33777;51512;15.3;36355.15;26678.61;0.5016
26910104;CENTRE VILLE 4;2691;Saint-Quentin;22;2;23;298;2231;942;11871;19293;32564;20693;4796;10312;13150;15939;22715;28857;37589;55799;11.6;34173.95;28246.69;0.4874
26910201;EUROPE-REMICOURT 1;2691;Saint-Quentin;22;2;23;298;2231;1009;13407;21998;37206;23799;6967;11443;14926;17915;26194;33349;41613;56837;8.2;29431.64;29070.99;0.4372
26910202;EUROPE-REMICOURT 2;2691;Saint-Quentin;22;2;23;298;2231;812;15273;24908;37075;21803;9372;13766;17332;20272;29083;33758;40570;49194;5.2;18662.05;28001.18;0.3461
26910203;EUROPE-REMICOURT 3;2691;Saint-Quentin;22;2;23;298;2231;813;16942;24878;37348;20406;11547;15324;18322;21717;28634;33798;42120;56173;4.9;28804.60;31157.38;0.3648
26910204;EUROPE-REMICOURT 4;2691;Saint-Quentin;22;2;23;298;2231;830;6250;13774;21357;15107;0;4266;8061;11367;16454;19814;24501;32473;;22396.03;16619.84;0.4748
26910205;EUROPE-REMICOURT 5;2691;Saint-Quentin;22;2;23;298;2231;588;6616;12717;18559;11944;0;4513;7789;10420;14681;16793;20126;28207;;14219.40;14381.73;0.4475
26910206;EUROPE-REMICOURT 6;2691;Saint-Quentin;22;2;23;298;2231;770;9925;15910;24031;14106;2291;8499;11367;13432;18747;21864;26947;33209;14.5;12877.69;17935.08;0.3802
26910207;EUROPE-REMICOURT 7;2691;Saint-Quentin;22;2;23;298;2231;858;12189;17543;25211;13022;7353;11100;13532;15335;20093;22917;27772;34854;4.7;12110.79;19702.54;0.3208
26910208;EUROPE-REMICOURT 8;2691;Saint-Quentin;22;2;23;298;2231;693;17390;26571;41158;23768;11164;15704;18895;22598;30392;38004;46286;57829;5.2;48256.77;34363.48;0.4057
26910209;EUROPE-REMICOURT 9;2691;Saint-Quentin;22;2;23;298;2231;756;11599;21700;40261;28662;5121;10170;13365;16989;27769;35253;45138;60579;11.8;30665.14;30346.13;0.4712
26910210;EUROPE-REMICOURT 10;2691;Saint-Quentin;22;2;23;298;2231;117;14850;21519;30718;15868;;;;;;;;;;;;
26910301;ISLE 1;2691;Saint-Quentin;22;2;23;298;2231;1050;9724;16800;26658;16934;1442;7876;11375;14405;20121;23915;29652;38883;27.0;21560.60;20379.98;0.4260
26910302;ISLE 2;2691;Saint-Quentin;22;2;23;298;2231;894;14109;20808;31039;16930;8456;13030;15433;17553;24191;28269;33646;40980;4.8;14433.39;23422.20;0.3267
26910303;ISLE 3;2691;Saint-Quentin;22;2;23;298;2231;1249;11048;17406;26502;15454;4116;9276;12454;14641;20271;24267;28990;38668;9.4;13723.03;19730.63;0.3713
26910304;ISLE 4;2691;Saint-Quentin;22;2;23;298;2231;1570;12177;18525;28791;16614;5390;10675;13382;15477;22470;26363;32028;40800;7.6;17405.52;22031.86;0.3754
26910401;SAINT-MARTIN-OESTRES 1;2691;Saint-Quentin;22;2;23;298;2231;1066;13304;20404;33230;19926;5346;11518;14449;17119;24680;30242;35755;46051;8.6;19911.46;24683.72;0.3868
26910402;SAINT-MARTIN-OESTRES 2;2691;Saint-Quentin;22;2;23;298;2231;838;12967;19858;28619;15652;6416;11540;14344;17141;23334;26739;31683;39389;6.1;13958.97;22106.23;0.3409
26910403;SAINT-MARTIN-OESTRES 3;2691;Saint-Quentin;22;2;23;298;2231;1017;15020;22899;32821;17801;9603;13630;16647;19472;26036;30352;35703;44614;4.6;15262.80;25377.61;0.3236
26910501;VERMANDOIS 1;2691;Saint-Quentin;22;2;23;298;2231;1203;12700;19362;29437;16737;5912;11351;13960;16520;22268;27135;31974;40766;6.9;17031.85;22589.11;0.3676
26910502;VERMANDOIS 2;2691;Saint-Quentin;22;2;23;298;2231;666;11694;19846;31059;19365;4305;9562;13497;16343;23319;28734;35223;48582;11.3;19542.37;23938.57;0.4155
26910503;VERMANDOIS 3;2691;Saint-Quentin;22;2;23;298;2231;1000;6387;13895;22294;15907;0;4076;8347;11367;16549;20208;25114;33432;;16250.34;16567.39;0.4631
26910504;VERMANDOIS 4;2691;Saint-Quentin;22;2;23;298;2231;857;16194;24548;36576;20382;11059;14721;17668;20626;28533;33406;39608;48509;4.4;18998.70;28307.10;0.3346
26910505;VERMANDOIS 5;2691;Saint-Quentin;22;2;23;298;2231;124;14232;22546;39889;25658;;;;;;;;;;;;
26910601;SAINT-JEAN;2691;Saint-Quentin;22;2;23;298;2231;1553;12675;20034;30728;18053;5111;10887;14293;17146;23573;28419;34333;44636;8.7;21419.65;24088.73;0.3984
27220101;PRESLES 1;2722;Soissons;22;2;24;299;2207;950;10996;18040;29911;18915;2956;8578;12424;14912;21845;26780;33403;44803;15.2;27993.71;22789.90;0.4343
27220102;PRESLES 2;2722;Soissons;22;2;24;299;2207;576;4944;12869;20462;15518;0;2475;6750;10088;15428;18654;23241;29105;;11607.06;14102.35;0.4524
27220103;PRESLES 3;2722;Soissons;22;2;24;299;2207;769;9160;15758;24003;14843;3177;7778;10744;13361;18169;21540;26392;34547;10.9;16147.53;18521.44;0.4021
27220201;MAUPAS;2722;Soissons;22;2;24;299;2207;997;13387;18339;26554;13167;9205;12268;14506;16176;20982;24342;29094;36053;3.9;11675.57;20779.70;0.2985
27220301;LONGUES BAIES;2722;Soissons;22;2;24;299;2207;884;18149;29990;45959;27811;11790;15766;20117;25529;36394;42640;50943;68062;5.8;34393.42;37532.20;0.3921
27220401;SAINT-CREPIN;2722;Soissons;22;2;24;299;2207;1074;9411;14997;22664;13253;2736;7761;10650;12517;17243;20376;24617;32224;11.8;13807.78;17207.31;0.3898
27220501;CENTRE 1;2722;Soissons;22;2;24;299;2207;797;17543;29141;43925;26382;10898;15639;20210;24430;33644;39712;48745;69885;6.4;45716.71;38356.37;0.4230
27220502;CENTRE 2;2722;Soissons;22;2;24;299;2207;1351;13510;20459;31824;18314;6775;11815;14940;17604;24067;28898;37082;51769;7.6;29543.39;27616.70;0.4300
27220503;CENTRE 3;2722;Soissons;22;2;24;299;2207;1374;14318;22304;36569;22251;7866;12975;15863;18945;27236;32571;41401;63356;8.1;37079.59;32512.23;0.4595
27220601;CHEVREUX;2722;Soissons;22;2;24;299;2207;718;6792;15047;25948;19156;118;5255;8848;12000;18186;22708;28738;36293;307.6;19801.34;18382.84;0.4655
27220701;SAINT-WAAST;2722;Soissons;22;2;24;299;2207;1018;14486;23270;36388;21902;7971;13328;16163;19475;27579;32654;39185;47483;6.0;27529.14;27844.71;0.3821
27220801;SAINT-MEDARD;2722;Soissons;22;2;24;299;2207;789;12880;18433;29371;16491;7275;11534;14121;15700;22666;26880;32043;40404;5.6;15751.27;22338.36;0.3564
27220901;GARE;2722;Soissons;22;2;24;299;2207;886;14517;23282;38713;24196;7082;12933;16282;19616;28617;34296;43439;62265;8.8;32025.51;31660.41;0.4379
27380101;QUESSY CENTRE;2738;Tergnier;22;2;22;242;2232;605;13129;20698;31248;18119;7592;11365;14751;17460;24309;29107;33409;42940;5.7;24928.64;24492.12;0.3799
27380102;QUESSY CITE;2738;Tergnier;22;2;22;242;2232;538;14400;20026;28096;13696;8582;13501;15762;18081;23047;26306;30509;36069;4.2;10736.67;21673.43;0.2752
27380201;VOUEL;2738;Tergnier;22;2;22;242;2232;942;12197;20571;30176;17979;5346;10740;14329;17337;24297;27766;33073;42863;8.0;15547.88;22893.29;0.3620
27380301;TERGNIER 1;2738;Tergnier;22;2;22;242;2232;1149;13676;21034;31240;17564;8097;12157;15372;17873;24482;28335;34275;44034;5.4;18132.63;24419.51;0.3513
27380302;TERGNIER 2;2738;Tergnier;22;2;22;242;2232;1116;11316;18162;27691;16375;3600;9673;12769;15360;21050;25438;30971;40022;11.1;17503.00;21316.17;0.3945
27380401;FARGNIERS;2738;Tergnier;22;2;22;242;2232;1461;13716;20990;31851;18135;8021;11994;15121;17901;25147;29251;34318;42542;5.3;19171.41;24342.23;0.3487
30230101;CENTRE VILLE HAUT;3023;Bellerive-sur-Allier;83;3;33;310;8391;1006;15372;23827;36191;20819;9658;13890;16698;20269;27916;33815;40473;51948;5.4;23187.98;29105.37;0.3676
30230102;CENTRE VILLE BAS;3023;Bellerive-sur-Allier;83;3;33;310;8391;910;15459;25679;40032;24573;10621;13901;17172;21376;30691;36263;44454;57700;5.4;30263.00;32057.15;0.3879
30230103;EXTERIEUR HAUT;3023;Bellerive-sur-Allier;83;3;33;310;8391;793;16074;27590;43322;27248;8310;13933;17711;21870;31971;39117;48278;66418;8.0;35725.05;35456.89;0.4349
30230104;EXTERIEUR BAS;3023;Bellerive-sur-Allier;83;3;33;310;8391;1127;17440;26914;41337;23897;11694;15617;19489;23228;31871;37237;44860;58484;5.0;24050.72;32436.65;0.3530
30820101;1èRE ZONE;3082;Commentry;83;3;31;305;8343;896;17332;27013;37679;20347;11672;15934;19092;23028;30229;34659;41099;49912;4.3;17680.32;29474.35;0.3048
30820102;2IEME ZONE;3082;Commentry;83;3;31;305;8343;1264;12380;19127;29358;16978;5534;10553;13911;16588;22462;27191;32762;42621;7.7;20597.25;23144.39;0.3914
30820103;3IEME ZONE;3082;Commentry;83;3;31;305;8343;1115;12307;18519;27680;15373;7267;11038;13586;15776;21700;25783;29809;38296;5.3;13599.57;21123.13;0.3368
30950101;CENTRE HISTORIQUE;3095;Cusset;83;3;33;396;8391;1160;12018;17349;27478;15460;7291;10849;13084;15274;20687;24804;30743;39350;5.4;21421.30;22219.99;0.3889
30950102;MONTBETON-LES JONCHERES;3095;Cusset;83;3;33;396;8391;849;14020;22584;33252;19232;7402;12436;15682;18296;26671;30954;36650;49181;6.6;22651.15;26394.33;0.3805
30950103;PRESLES-PUYBESSEAU;3095;Cusset;83;3;33;396;8391;1256;11679;18553;29717;18038;3428;9669;13009;15555;22161;26782;32691;40479;11.8;15976.13;21670.75;0.3860
30950105;CHAMPCOURT-ZONE INDUSTRIELLE;3095;Cusset;83;3;33;396;8391;1000;16128;25310;37015;20887;10947;14853;17711;20601;29326;34259;40360;51192;4.7;24561.41;29553.47;0.3496
30950106;ZONE VERTE;3095;Cusset;83;3;33;396;8391;691;21592;32196;44614;23022;14464;19472;24264;28036;37414;41542;47216;59384;4.1;25077.66;36471.38;0.3139
31850101;CITE BRETONNIE-CHATELET-FAVIERES-CONCHES;3185;Montluçon;83;3;31;398;8343;1807;11471;18483;31391;19920;4672;9686;13114;15463;22631;28023;36559;54970;11.8;46224.53;28895.61;0.5107
31850102;DIENAT-FORGES;3185;Montluçon;83;3;31;398;8343;1463;11904;18442;28820;16916;5343;10147;13386;15975;21712;26060;32657;46406;8.7;28563.08;24208.70;0.4347
31850103;CHANTOISEAU-FAUCHEROUX;3185;Montluçon;83;3;31;398;8343;977;12708;19580;30471;17763;6711;11116;14348;16604;24037;28105;33669;44391;6.6;21427.55;24074.39;0.3847
31850104;FOURS A CHAUX;3185;Montluçon;83;3;31;398;8343;908;13126;19326;29831;16705;8122;11820;14377;16647;22607;27137;33156;40703;5.0;14528.97;22504.27;0.3356
31850105;MONTCOURTAIS;3185;Montluçon;83;3;31;398;8343;890;11145;17311;27805;16660;4456;9092;12656;15077;20469;25230;29816;36419;8.2;13747.55;19907.26;0.3694
31850106;VILLE GOZET;3185;Montluçon;83;3;31;398;8343;1715;10018;15743;23406;13388;3750;8416;11459;13761;18054;21163;26498;34067;9.1;19586.09;18762.23;0.3948
31850107;ZONE INDUSTRIELLE BLANZAT;3185;Montluçon;83;3;31;398;8343;554;10572;16907;24847;14275;;;;;;;;;;;;
31850108;MONTGACHER-CORDELIERS;3185;Montluçon;83;3;31;398;8343;1381;14619;21866;32652;18033;8899;13345;16035;18976;25360;29622;35394;46341;5.2;18173.15;25719.66;0.3471
31850109;CHATELARD-LA VERNE-NERDRE;3185;Montluçon;83;3;31;398;8343;211;18755;27912;42605;23850;;;;;;;;;;;;
31850110;RIMARD-MARIGNON;3185;Montluçon;83;3;31;398;8343;1565;15768;25386;38435;22667;10467;14097;17615;21084;29813;34405;42434;56111;5.4;28088.22;30975.23;0.3787
31850111;SAINT-JEAN;3185;Montluçon;83;3;31;398;8343;970;18541;28994;42096;23555;12716;16618;20531;24540;33356;38041;45712;58953;4.6;23490.74;33667.84;0.3383
31850112;LES ILES-BUFFON;3185;Montluçon;83;3;31;398;8343;923;15612;24656;35957;20345;9589;14433;16901;20440;28205;32699;39351;48660;5.1;22388.35;28032.94;0.3499
31850113;FONTBOUILLANT;3185;Montluçon;83;3;31;398;8343;1548;8939;16089;25127;16188;2320;7316;10690;13600;19158;22582;28291;36174;15.6;14098.55;18514.09;0.4023
31850114;LA CASERNE-LES GUINEBERTS;3185;Montluçon;83;3;31;398;8343;1084;13889;20556;31396;17507;7898;12216;14893;17619;24546;29211;34549;43636;5.5;16307.16;24104.92;0.3488
31850115;BIEN ASSIS;3185;Montluçon;83;3;31;398;8343;1377;8223;15164;25207;16984;444;5607;9887;12798;17869;22113;28507;36953;83.2;14432.76;17894.08;0.4300
31850116;MARAIS-VILLARS;3185;Montluçon;83;3;31;398;8343;835;14172;20532;30592;16420;9007;12764;15367;17755;24298;28431;33025;40975;4.5;14223.04;23444.17;0.3162
31850117;VIVIANI-DUNLOP;3185;Montluçon;83;3;31;398;8343;1160;11841;16956;24288;12447;6395;10291;12845;14799;19477;22464;27121;33212;5.2;12084.64;19100.61;0.3302
31900101;CENTRE HISTORIQUE;3190;Moulins;83;3;32;399;8351;1195;10741;17087;27670;16929;3006;8608;12185;14589;20624;24738;31669;44917;14.9;22337.91;22531.41;0.4483
31900102;CENTRE MODERNE;3190;Moulins;83;3;32;399;8351;1938;12426;18319;29662;17236;6626;10648;13799;15994;21538;26311;34275;48136;7.3;31034.46;25884.79;0.4472
31900103;LES GATEAUX;3190;Moulins;83;3;32;399;8351;708;12534;19002;31211;18677;6588;11060;13847;16286;22089;27603;33756;44726;6.8;15548.63;22704.48;0.3685
31900104;QUARTIER NORD;3190;Moulins;83;3;32;399;8351;839;11367;17532;28511;17144;4900;9237;12953;14919;21075;26019;31074;40172;8.2;15580.40;21116.21;0.3849
31900105;DECIZE BOURGOGNE;3190;Moulins;83;3;32;399;8351;1085;13853;21946;33813;19960;7392;12220;15408;18764;26220;30947;37475;48432;6.6;24991.36;26950.08;0.3941
31900106;LYON GARE;3190;Moulins;83;3;32;399;8351;1057;13804;21319;34821;21017;7318;12271;15117;18137;25193;31234;38948;52588;7.2;24113.18;27510.95;0.4095
31900107;QUARTIER SUD ZONE 1;3190;Moulins;83;3;32;399;8351;1054;10835;17494;26782;15947;4467;9193;12318;14697;20581;24340;29722;38915;8.7;14914.06;20223.89;0.3788
31900108;QUARTIER SUD ZONE 2;3190;Moulins;83;3;32;399;8351;1500;8687;15738;25219;16533;1026;6123;10460;13155;19082;22913;27985;35637;34.7;14257.28;18121.19;0.4138
31900109;LA MADELEINE;3190;Moulins;83;3;32;399;8351;828;14979;23074;34364;19386;9565;13255;16110;19488;27589;31841;37344;48449;5.1;21101.32;27191.49;0.3539
33100101;HOTEL DE VILLE;3310;Vichy;83;3;33;397;8391;1601;10474;16633;27674;17200;2785;8571;11791;14162;19552;24592;31405;43085;15.5;22040.50;21897.94;0.4484
